UniqueID,MAIN_CROP,MAIN_CROP_DATE,YR_PLANTED,ACRES,COUNTY,REGION,HYDRO_RGN,CROPTYP1,CLASS1,SUBCLASS1,study_region,is_unit,nearest_station_km
1512685,D12,,2020,15.963477217388938,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,14.42
1513760,D12,,2020,15.89255709222144,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,14.23
1524673,D12,,2020,78.7506813547482,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,4.16
1515657,D12,,2020,51.816311566730164,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,15.37
1516853,D12,,2020,17.811776488802078,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,14.84
1507877,D12,,2020,38.229682582727364,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,14.39
1506148,D12,,2020,38.23433215233047,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,14.44
1505553,D12,,2020,32.47090995095452,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,18.91
1504707,D12,,2019,16.450158925316035,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,16.63
1502551,D12,,2019,14.948890318345512,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,17.19
1521344,D12,,2020,35.89136081883717,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,17.24
1521099,D12,,2020,31.64190522114061,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,14.42
1500679,D12,,2022,33.7227165463016,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,16.99
1508553,D12,,2021,49.470070897405265,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,13.63
1508629,D12,,2021,19.996296180338284,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,17.64
1509087,D12,,2022,32.277515056190396,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,17.22
1524674,D12,,2022,79.99583998633653,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,16.63
1524675,D12,,2022,129.99900723069754,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,15.41
1505690,D12,,2022,31.513561569321112,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,17.11
1505670,D12,,2022,54.60510819299771,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,16.01
1505320,D12,,2022,27.935175325665362,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,15.74
1503043,D12,,2022,60.46854172715255,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,16.29
1517153,D12,,2020,71.13078292908723,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,17.52
1517511,D12,,2020,76.32059458267871,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,17.58
1517770,D12,,2020,73.64445059601873,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,17.92
1520159,D12,,2018,86.0328760202326,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,21.51
1519728,D12,,2020,71.4813231492942,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,17.18
1512332,D12,,2020,71.25733696906809,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,20.75
1506598,D12,,2021,8.686978889878393,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,11.55
1505734,D12,,2020,27.65757167260312,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,20.42
1502219,D12,,2020,9.33818764796058,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,20.43
1502218,D12,,2020,15.3918179805983,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,20.6
1522335,D12,,2021,9.327210153308954,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,11.6
1507483,D12,,2011,64.04279701233104,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,12.26
1512116,D12,,2011,72.90013760678698,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,12.51
1504312,D12,,2015,19.252292528502657,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,6.15
1516603,D12,,2005,50.435104669751425,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,8.1
1517049,D12,,2005,49.69390814958367,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,7.37
1518319,D12,,2005,53.18553831565472,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,7.15
1520340,D12,,2005,51.03492582199114,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,7.88
1520461,D12,,2005,50.95466185930117,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,7.99
1500130,D12,,2005,51.193462494961466,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,7.25
1511168,D12,,2018,51.86658224930636,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,6.08
1513668,D12,,2006,33.14954243824154,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,25.97
1515347,D12,,2016,24.395727461613887,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,17.54
1515365,D12,48.0,2004,107.67241520058643,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,11.52
1515398,D12,,2016,36.20850015224803,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,11.9
1515590,D12,,2016,72.68475659132403,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,13.88
1515621,D12,,2005,78.29250317585448,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,3.04
1515727,D12,65.0,2005,51.772334923620555,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,2.17
1515847,D12,,2015,44.90481935300344,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,15.07
1515871,D12,,2016,62.70020351259374,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,21.76
1515876,D12,65.0,2005,83.52608910434792,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,7.79
1515890,D12,65.0,2005,56.03907084891814,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,1.67
1516214,D12,65.0,2005,55.59402168870254,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,1.93
1516219,D12,49.0,2004,36.558583225913395,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,11.07
1516235,D12,,2018,150.0263950437859,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,19.87
1516259,D12,,2016,60.07099163398217,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,18.78
1516393,D12,65.0,2004,78.45629941229154,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,11.95
1516431,D12,,2015,19.246314525355487,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,19.16
1516453,D12,,2006,98.46629633214322,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,3.97
1516485,D12,65.0,2005,53.31185589321911,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,1.13
1516549,D12,,2005,65.71906876233382,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,2.92
1516568,D12,,2016,75.72293556335318,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,13.72
1517034,D12,,2016,17.762660474315744,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,5.41
1517096,D12,71.0,2005,77.48615679207666,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,7.09
1517113,D12,80.0,2005,73.16456405734243,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,3.43
1517180,D12,,2005,76.56765998413942,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,3.08
1517185,D12,56.0,2006,76.84248302470817,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,13.72
1517222,D12,41.0,2004,38.27811129967702,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,1.04
1517261,D12,,2016,49.53230517143698,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,20.39
1517292,D12,,2017,78.04779611741093,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,14.73
1517299,D12,,2016,38.122568745147255,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,17.64
1517303,D12,,2005,32.888497704721615,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,3.46
1517334,D12,80.0,2003,79.75819498589424,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,10.96
1517444,D12,,2015,35.58302395326139,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,12.74
1517665,D12,65.0,2005,19.51756689206855,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,1.44
1517753,D12,71.0,2005,74.0618621020457,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,3.2
1517853,D12,,2015,38.51968434190228,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,18.74
1518186,D12,65.0,2005,50.32683801968252,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,1.39
1518267,D12,,2018,52.95154684169004,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,20.07
1518269,D12,41.0,2004,36.73851412076304,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,0.77
1518277,D12,,2016,18.078691079503837,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,19.05
1518278,D12,63.0,2005,79.93630952321142,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,7.43
1518402,D12,,2017,75.9832958767008,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,14.3
1518488,D12,65.0,2005,21.96167935368651,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,1.7
1518581,D12,,2015,71.91617302375214,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,22.19
1518653,D12,49.0,2004,107.2092397438672,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,11.9
1518773,D12,,2006,116.428675057191,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,4.63
1518783,D12,,2016,38.34895872566417,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,17.76
1518826,D12,,2015,28.98678558318051,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,16.37
1518945,D12,65.0,2005,40.12931095085311,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,0.87
1518977,D12,65.0,2005,46.49344004621379,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,2.2
1518981,D12,,2016,54.85566702880543,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,5.8
1518993,D12,65.0,2005,17.97786424725037,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,2.23
1519018,D12,,2005,21.532855615217056,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,3.58
